"Index","anom_location"
2014-06-26 17:50:00,"DesktopComputer"
2014-07-01 00:50:00,"DesktopComputer"
2014-07-02 10:50:00,"DesktopComputer"
2014-07-04 18:50:00,"DesktopComputer"
2014-07-07 03:50:00,"DesktopComputer"
2014-07-07 05:50:00,"DesktopComputer"
2014-07-10 23:50:00,"DesktopComputer"
2014-07-12 21:50:00,"DesktopComputer"
2014-07-14 17:50:00,"DesktopComputer"
2014-07-15 22:50:00,"DesktopComputer"
2014-07-17 05:50:00,"DesktopComputer"
2014-07-22 06:50:00,"DesktopComputer"
2014-07-24 09:50:00,"DesktopComputer"
2014-07-29 08:50:00,"DesktopComputer"
2014-08-02 01:50:00,"DesktopComputer"
2014-08-02 10:50:00,"DesktopComputer"
2014-08-06 21:50:00,"DesktopComputer"
2014-08-11 14:50:00,"Kettle"
2014-08-16 11:50:00,"DesktopComputer"
2014-08-17 07:50:00,"DesktopComputer"
2014-08-17 21:50:00,"DesktopComputer"
2014-08-18 04:50:00,"DesktopComputer"
2014-08-21 23:50:00,"DesktopComputer"
2014-08-22 20:50:00,"DesktopComputer"
2014-08-23 08:50:00,"WashingMachine_1"
2014-08-23 18:50:00,"DesktopComputer"
2014-08-24 01:50:00,"DesktopComputer"
2014-08-26 10:50:00,"DesktopComputer"
2014-08-26 21:50:00,"DesktopComputer"
2014-08-27 20:50:00,"DesktopComputer"
