"Index","anom_location"
2014-06-22 10:50:00,"Microwave"
2014-06-22 18:50:00,"Microwave"
2014-06-22 21:50:00,"Microwave"
2014-06-25 05:50:00,"Microwave"
2014-06-25 08:50:00,"Microwave"
2014-06-25 11:50:00,"Microwave"
2014-06-25 20:50:00,"Microwave"
2014-06-25 21:50:00,"Microwave"
2014-06-27 20:50:00,"Microwave"
2014-06-28 03:50:00,"Microwave"
2014-06-28 04:50:00,"Microwave"
2014-06-28 06:50:00,"Microwave"
2014-06-28 12:50:00,"Hi.Fi"
2014-06-30 07:50:00,"Microwave"
2014-07-02 11:50:00,"Microwave"
2014-07-04 05:50:00,"Microwave"
2014-07-04 19:50:00,"Microwave"
2014-07-05 05:50:00,"Microwave"
2014-07-06 01:50:00,"Microwave"
2014-07-07 04:50:00,"Microwave"
2014-07-07 05:50:00,"Microwave"
2014-07-07 06:50:00,"Microwave"
2014-07-07 07:50:00,"Microwave"
2014-07-07 08:50:00,"Microwave"
2014-07-07 12:50:00,"Microwave"
2014-07-07 14:50:00,"Microwave"
2014-07-08 20:50:00,"Microwave"
2014-07-09 06:50:00,"Microwave"
2014-07-09 09:50:00,"Microwave"
2014-07-11 00:50:00,"Microwave"
2014-07-12 11:50:00,"TelevisionSite"
2014-07-13 04:50:00,"Microwave"
2014-07-13 05:50:00,"Microwave"
2014-07-13 07:50:00,"TelevisionSite"
2014-07-13 13:50:00,"Microwave"
2014-07-18 20:50:00,"Microwave"
2014-07-19 00:50:00,"Microwave"
2014-07-19 02:50:00,"Microwave"
2014-07-19 09:50:00,"Microwave"
2014-07-19 10:50:00,"TelevisionSite"
2014-07-19 14:50:00,"Microwave"
2014-07-20 00:50:00,"Microwave"
2014-07-20 12:50:00,"Microwave"
2014-07-20 16:50:00,"Microwave"
2014-07-20 19:50:00,"Microwave"
2014-07-20 23:50:00,"Microwave"
2014-07-21 05:50:00,"Microwave"
2014-07-21 16:50:00,"Microwave"
2014-07-21 18:50:00,"Bread.maker"
2014-07-21 21:50:00,"Microwave"
2014-07-21 23:50:00,"Microwave"
2014-07-22 17:50:00,"Microwave"
2014-07-22 22:50:00,"Microwave"
2014-07-23 18:50:00,"Microwave"
2014-07-26 02:50:00,"Microwave"
2014-07-26 04:50:00,"Microwave"
2014-07-27 12:50:00,"Microwave"
2014-07-27 18:50:00,"Microwave"
2014-07-27 22:50:00,"Microwave"
2014-07-28 12:50:00,"Microwave"
2014-07-30 17:50:00,"Microwave"
2014-07-31 05:50:00,"Microwave"
2014-07-31 11:50:00,"Microwave"
2014-08-02 20:50:00,"Microwave"
2014-08-02 22:50:00,"Microwave"
2014-08-02 23:50:00,"Microwave"
2014-08-03 14:50:00,"Microwave"
2014-08-03 15:50:00,"Microwave"
2014-08-04 00:50:00,"Microwave"
2014-08-04 01:50:00,"Microwave"
2014-08-05 04:50:00,"Microwave"
2014-08-05 13:50:00,"Microwave"
2014-08-08 00:50:00,"Microwave"
2014-08-11 03:50:00,"Microwave"
2014-08-12 15:50:00,"Microwave"
2014-08-12 16:50:00,"Microwave"
2014-08-12 18:50:00,"TelevisionSite"
2014-08-12 19:50:00,"Microwave"
2014-08-12 20:50:00,"Microwave"
2014-08-13 01:50:00,"Microwave"
2014-08-13 02:50:00,"Microwave"
2014-08-13 06:50:00,"Microwave"
2014-08-13 07:50:00,"Microwave"
2014-08-13 08:50:00,"Microwave"
2014-08-13 21:50:00,"Microwave"
2014-08-13 23:50:00,"Microwave"
2014-08-14 08:50:00,"Microwave"
2014-08-19 17:50:00,"Microwave"
2014-08-19 18:50:00,"TelevisionSite"
2014-08-19 20:50:00,"Microwave"
2014-08-19 22:50:00,"Microwave"
2014-08-20 08:50:00,"Microwave"
2014-08-20 09:50:00,"Microwave"
2014-08-21 18:50:00,"TelevisionSite"
2014-08-22 00:50:00,"Microwave"
2014-08-22 01:50:00,"Microwave"
2014-08-22 04:50:00,"Microwave"
2014-08-22 05:50:00,"Microwave"
2014-08-22 15:50:00,"Microwave"
2014-08-24 18:50:00,"Microwave"
2014-08-24 20:50:00,"Microwave"
2014-08-24 22:50:00,"Microwave"
2014-08-25 03:50:00,"Microwave"
2014-08-25 05:50:00,"Microwave"
2014-08-25 08:50:00,"Microwave"
2014-08-25 10:50:00,"Microwave"
2014-08-25 12:50:00,"TelevisionSite"
2014-08-25 14:50:00,"Microwave"
2014-08-25 15:50:00,"TelevisionSite"
2014-08-25 16:50:00,"Microwave"
2014-08-25 18:50:00,"Microwave"
2014-08-25 22:50:00,"Microwave"
2014-08-27 16:50:00,"Microwave"
2014-08-28 17:50:00,"Microwave"
2014-08-29 00:50:00,"Microwave"
2014-08-29 10:50:00,"Microwave"
