"Index","anom_location"
2014-06-29 03:50:00,"air1"
2014-06-29 04:50:00,"air1"
2014-06-29 16:50:00,"air1"
2014-06-30 03:50:00,"drye1"
2014-06-30 18:50:00,"air1"
2014-06-30 19:50:00,"air1"
2014-07-01 09:50:00,"air1"
2014-07-02 05:50:00,"air1"
2014-07-02 16:50:00,"air1"
2014-07-02 18:50:00,"drye1"
2014-07-05 15:50:00,"air1"
2014-07-05 19:50:00,"drye1"
2014-07-05 21:50:00,"drye1"
2014-07-07 14:50:00,"air1"
2014-07-07 15:50:00,"drye1"
2014-07-08 19:50:00,"drye1"
2014-07-11 16:50:00,"drye1"
2014-07-13 22:50:00,"drye1"
2014-07-17 06:50:00,"air1"
2014-07-20 01:50:00,"drye1"
2014-07-20 03:50:00,"drye1"
2014-07-21 07:50:00,"air1"
2014-07-21 13:50:00,"air1"
2014-07-21 21:50:00,"drye1"
2014-07-22 00:50:00,"drye1"
2014-07-22 08:50:00,"air1"
2014-07-24 03:50:00,"air1"
2014-07-24 05:50:00,"drye1"
2014-07-24 20:50:00,"air1"
2014-07-26 15:50:00,"air1"
2014-07-26 20:50:00,"drye1"
2014-07-27 06:50:00,"air1"
2014-07-27 08:50:00,"air1"
2014-07-28 12:50:00,"air1"
2014-07-28 13:50:00,"furnace1"
2014-07-28 18:50:00,"air1"
2014-08-05 13:50:00,"furnace1"
2014-08-07 11:50:00,"air1"
2014-08-08 08:50:00,"air1"
2014-08-08 12:50:00,"air1"
2014-08-09 14:50:00,"air1"
2014-08-10 03:50:00,"air1"
2014-08-10 22:50:00,"drye1"
2014-08-11 00:50:00,"drye1"
2014-08-14 04:50:00,"bedroom1"
2014-08-15 09:50:00,"air1"
2014-08-15 22:50:00,"air1"
2014-08-16 13:50:00,"drye1"
2014-08-16 14:50:00,"drye1"
2014-08-16 15:50:00,"drye1"
2014-08-16 17:50:00,"drye1"
2014-08-16 18:50:00,"drye1"
2014-08-17 04:50:00,"air1"
2014-08-18 23:50:00,"air1"
2014-08-19 01:50:00,"drye1"
2014-08-19 13:50:00,"air1"
2014-08-19 17:50:00,"air1"
2014-08-20 22:50:00,"drye1"
2014-08-21 12:50:00,"air1"
2014-08-22 08:50:00,"air1"
2014-08-22 11:50:00,"air1"
2014-08-23 14:50:00,"furnace1"
2014-08-24 08:50:00,"air1"
2014-08-24 16:50:00,"drye1"
2014-08-24 17:50:00,"drye1"
2014-08-24 20:50:00,"drye1"
2014-08-29 13:50:00,"air1"
2014-08-30 14:50:00,"drye1"
2014-08-30 15:50:00,"drye1"
2014-08-30 18:50:00,"drye1"
2014-08-30 19:50:00,"drye1"
