"Index","anom_location"
2014-06-29 06:50:00,"range1"
2014-06-29 09:50:00,"air1"
2014-06-30 07:50:00,"air1"
2014-07-01 13:50:00,"air1"
2014-07-14 00:50:00,"air1"
2014-07-20 22:50:00,"air1"
2014-07-22 10:50:00,"air1"
2014-07-26 11:50:00,"air1"
2014-07-30 14:50:00,"air1"
2014-08-09 12:50:00,"air1"
2014-08-10 19:50:00,"air1"
2014-08-11 13:50:00,"range1"
2014-08-20 09:50:00,"refrigerator1"
2014-08-27 02:50:00,"air1"
2014-08-27 03:50:00,"air1"
2014-08-27 07:50:00,"air1"
2014-08-27 10:50:00,"air1"
2014-08-27 12:50:00,"air1"
2014-08-27 13:50:00,"air1"
2014-08-27 14:50:00,"air1"
2014-08-27 22:50:00,"air1"
2014-08-28 02:50:00,"air1"
2014-08-28 11:50:00,"refrigerator1"
2014-08-28 18:50:00,"air1"
2014-08-29 08:50:00,"range1"
2014-08-29 11:50:00,"range1"
2014-08-30 07:50:00,"air1"
2014-08-30 20:50:00,"air1"
