"Index","anom_readings"
2014-01-20 16:50:00,1
2014-01-21 17:50:00,1
2014-01-22 01:50:00,1
2014-01-24 20:50:00,1
2014-01-25 13:50:00,1
2014-01-26 11:50:00,1
2014-01-26 19:50:00,1
2014-01-27 13:50:00,1
2014-01-27 18:50:00,1
2014-01-27 21:50:00,1
2014-01-27 23:50:00,1
2014-01-28 05:50:00,1
2014-01-28 06:50:00,1
2014-01-28 07:50:00,1
2014-01-28 08:50:00,1
2014-01-28 10:50:00,1
2014-01-29 04:50:00,1
2014-01-29 06:50:00,1
2014-01-29 10:50:00,1
2014-01-30 05:50:00,1
2014-02-01 16:50:00,1
2014-02-01 17:50:00,1
2014-02-02 02:50:00,1
2014-02-02 16:50:00,1
2014-02-03 08:50:00,1
2014-02-03 09:50:00,1
2014-02-04 20:50:00,1
2014-02-07 15:50:00,1
2014-02-08 11:50:00,1
2014-02-08 12:50:00,1
2014-02-08 13:50:00,1
2014-02-08 14:50:00,1
2014-02-09 01:50:00,1
2014-02-09 02:50:00,1
2014-02-09 03:50:00,1
2014-02-09 13:50:00,1
2014-02-09 17:50:00,1
2014-02-09 18:50:00,1
2014-02-09 21:50:00,1
2014-02-11 19:50:00,1
2014-02-12 04:50:00,1
2014-02-12 10:50:00,1
2014-02-12 22:50:00,1
2014-02-12 23:50:00,1
2014-02-15 20:50:00,1
2014-02-16 12:50:00,1
2014-02-17 05:50:00,1
2014-02-17 06:50:00,1
2014-02-17 10:50:00,1
2014-02-17 14:50:00,1
2014-02-19 23:50:00,1
2014-02-20 00:50:00,1
2014-02-21 01:50:00,1
2014-02-21 13:50:00,1
2014-02-22 02:50:00,1
2014-02-23 04:50:00,1
2014-02-23 13:50:00,1
2014-02-23 17:50:00,1
2014-02-24 13:50:00,1
2014-03-01 02:50:00,1
2014-03-01 11:50:00,1
2014-03-01 14:50:00,1
2014-03-01 15:50:00,1
2014-03-01 16:50:00,1
2014-03-01 20:50:00,1
2014-03-01 21:50:00,1
2014-03-03 09:50:00,1
2014-03-03 18:50:00,1
2014-03-03 22:50:00,1
2014-03-05 23:50:00,1
2014-03-06 05:50:00,1
2014-03-06 06:50:00,1
2014-03-06 07:50:00,1
2014-03-06 08:50:00,1
2014-03-07 00:50:00,1
2014-03-07 05:50:00,1
2014-03-08 01:50:00,1
2014-03-08 09:50:00,1
2014-03-08 15:50:00,1
2014-03-08 19:50:00,1
2014-03-08 22:50:00,1
2014-03-09 01:50:00,1
2014-03-09 02:50:00,1
2014-03-10 06:50:00,1
2014-03-10 07:50:00,1
2014-03-11 04:50:00,1
2014-03-11 12:50:00,1
2014-03-13 10:50:00,1
2014-03-15 19:50:00,1
2014-03-15 21:50:00,1
2014-03-17 17:50:00,1
2014-03-18 16:50:00,1
2014-03-19 03:50:00,1
2014-03-19 04:50:00,1
2014-03-19 18:50:00,1
2014-03-19 22:50:00,1
2014-03-20 02:50:00,1
2014-03-21 00:50:00,1
2014-03-21 05:50:00,1
2014-03-21 06:50:00,1
2014-03-22 12:50:00,1
2014-03-25 14:50:00,1
2014-03-25 16:50:00,1
2014-03-26 05:50:00,1
2014-03-26 08:50:00,1
2014-03-27 19:50:00,1
2014-03-28 14:50:00,1
2014-03-29 03:50:00,1
2014-03-29 05:50:00,1
2014-03-29 18:50:00,1
2014-03-29 23:50:00,1
2014-03-30 03:50:00,1
