"Index","anom_readings_online"
2014-06-24 19:50:00,TRUE
2014-06-26 17:50:00,TRUE
2014-06-27 21:50:00,TRUE
2014-06-28 10:50:00,TRUE
2014-07-01 17:50:00,TRUE
2014-07-06 07:50:00,TRUE
2014-07-09 08:50:00,TRUE
2014-07-13 15:50:00,TRUE
2014-07-13 16:50:00,TRUE
2014-07-18 09:50:00,TRUE
2014-07-25 14:50:00,TRUE
2014-07-27 22:50:00,TRUE
2014-07-28 02:50:00,TRUE
2014-08-04 10:50:00,TRUE
2014-08-04 11:50:00,TRUE
2014-08-16 05:50:00,TRUE
2014-08-19 20:50:00,TRUE
2014-08-20 09:50:00,TRUE
2014-08-20 10:50:00,TRUE
2014-08-20 12:50:00,TRUE
2014-08-20 13:50:00,TRUE
2014-08-20 15:50:00,TRUE
2014-08-20 17:50:00,TRUE
2014-08-22 09:50:00,TRUE
2014-08-22 10:50:00,TRUE
2014-08-22 11:50:00,TRUE
2014-08-27 17:50:00,TRUE
2014-08-29 20:50:00,TRUE
