"Index","anom_location"
2014-06-23 16:50:00,"air1"
2014-06-27 17:50:00,"air1"
2014-07-16 18:50:00,"air1"
2014-07-26 04:50:00,"air1"
2014-07-26 15:50:00,"air1"
2014-07-26 21:50:00,"air1"
2014-07-31 16:50:00,"air1"
2014-08-03 14:50:00,"air1"
2014-08-05 18:50:00,"air1"
2014-08-06 15:50:00,"air1"
2014-08-09 00:50:00,"air1"
2014-08-09 15:50:00,"air1"
2014-08-10 17:50:00,"air1"
2014-08-18 16:50:00,"air1"
2014-08-20 21:50:00,"air1"
2014-08-23 15:50:00,"air1"
2014-08-25 06:50:00,"furnace1"
2014-08-27 14:50:00,"furnace1"
2014-08-27 16:50:00,"air1"
2014-08-30 16:50:00,"air1"
