"Index","anom_readings"
2014-06-22 05:50:00,1
2014-06-22 06:50:00,1
2014-06-22 13:50:00,1
2014-06-24 04:50:00,1
2014-06-25 07:50:00,1
2014-06-29 18:50:00,1
2014-07-01 06:50:00,1
2014-07-03 08:50:00,1
2014-07-05 05:50:00,1
2014-07-08 03:50:00,1
2014-07-10 15:50:00,1
2014-07-10 16:50:00,1
2014-07-10 17:50:00,1
2014-07-10 18:50:00,1
2014-07-13 17:50:00,1
2014-07-17 14:50:00,1
2014-07-17 17:50:00,1
2014-07-18 14:50:00,1
2014-07-19 05:50:00,1
2014-07-19 23:50:00,1
2014-07-20 03:50:00,1
2014-07-20 04:50:00,1
2014-07-20 05:50:00,1
2014-07-22 18:50:00,1
2014-07-24 10:50:00,1
2014-07-24 18:50:00,1
2014-07-30 13:50:00,1
2014-07-31 12:50:00,1
2014-07-31 14:50:00,1
2014-08-01 05:50:00,1
2014-08-01 19:50:00,1
2014-08-02 01:50:00,1
2014-08-02 05:50:00,1
2014-08-02 06:50:00,1
2014-08-07 17:50:00,1
2014-08-07 18:50:00,1
2014-08-10 17:50:00,1
2014-08-14 16:50:00,1
2014-08-14 23:50:00,1
2014-08-15 01:50:00,1
2014-08-15 03:50:00,1
2014-08-15 04:50:00,1
2014-08-15 05:50:00,1
2014-08-15 06:50:00,1
2014-08-17 16:50:00,1
2014-08-18 14:50:00,1
2014-08-19 05:50:00,1
2014-08-19 11:50:00,1
2014-08-20 15:50:00,1
2014-08-21 13:50:00,1
2014-08-24 15:50:00,1
2014-08-25 02:50:00,1
2014-08-25 03:50:00,1
2014-08-25 04:50:00,1
2014-08-25 05:50:00,1
2014-08-25 06:50:00,1
2014-08-25 07:50:00,1
2014-08-25 08:50:00,1
2014-08-25 09:50:00,1
2014-08-25 10:50:00,1
2014-08-26 10:50:00,1
2014-08-26 12:50:00,1
2014-08-27 09:50:00,1
2014-08-28 14:50:00,1
