"Index","anom_readings"
2014-06-24 15:50:00,1
2014-06-25 01:50:00,1
2014-06-28 20:50:00,1
2014-06-29 08:50:00,1
2014-06-30 13:50:00,1
2014-06-30 14:50:00,1
2014-06-30 18:50:00,1
2014-07-01 16:50:00,1
2014-07-02 23:50:00,1
2014-07-03 00:50:00,1
2014-07-03 03:50:00,1
2014-07-04 15:50:00,1
2014-07-07 03:50:00,1
2014-07-08 11:50:00,1
2014-07-11 21:50:00,1
2014-07-11 22:50:00,1
2014-07-12 11:50:00,1
2014-07-14 09:50:00,1
2014-07-14 12:50:00,1
2014-07-16 17:50:00,1
2014-07-18 16:50:00,1
2014-07-18 17:50:00,1
2014-07-20 23:50:00,1
2014-07-21 11:50:00,1
2014-07-21 15:50:00,1
2014-07-21 16:50:00,1
2014-07-22 00:50:00,1
2014-07-22 14:50:00,1
2014-07-22 15:50:00,1
2014-07-22 16:50:00,1
2014-07-23 03:50:00,1
2014-07-23 04:50:00,1
2014-07-23 05:50:00,1
2014-07-23 12:50:00,1
2014-07-23 18:50:00,1
2014-07-23 20:50:00,1
2014-07-25 12:50:00,1
2014-07-26 14:50:00,1
2014-07-26 15:50:00,1
2014-07-26 21:50:00,1
2014-07-27 19:50:00,1
2014-07-28 13:50:00,1
2014-07-28 22:50:00,1
2014-07-31 16:50:00,1
2014-08-01 02:50:00,1
2014-08-04 13:50:00,1
2014-08-05 18:50:00,1
2014-08-06 15:50:00,1
2014-08-07 01:50:00,1
2014-08-07 14:50:00,1
2014-08-07 15:50:00,1
2014-08-08 05:50:00,1
2014-08-08 08:50:00,1
2014-08-09 14:50:00,1
2014-08-10 04:50:00,1
2014-08-10 06:50:00,1
2014-08-10 09:50:00,1
2014-08-10 10:50:00,1
2014-08-11 11:50:00,1
2014-08-16 08:50:00,1
2014-08-18 15:50:00,1
2014-08-18 16:50:00,1
2014-08-20 06:50:00,1
2014-08-22 07:50:00,1
2014-08-22 08:50:00,1
2014-08-22 09:50:00,1
2014-08-22 10:50:00,1
2014-08-22 11:50:00,1
2014-08-22 12:50:00,1
2014-08-23 14:50:00,1
2014-08-25 09:50:00,1
2014-08-29 17:50:00,1
2014-08-30 15:50:00,1
