"Index","power","anomaly"
2014-07-01 00:00:00,112,0
2014-07-01 00:10:00,140.9,0
2014-07-01 00:20:00,121.6,0
2014-07-01 00:30:00,668,0
2014-07-01 00:40:00,1615.8,1
2014-07-01 00:50:00,255,0
2014-07-01 01:00:00,125.6,0
2014-07-01 01:10:00,168.7,1
2014-07-01 01:20:00,275.3,1
2014-07-01 01:30:00,1017.4,1
2014-07-01 01:40:00,150.5,0
2014-07-01 01:50:00,151.5,0
2014-07-01 02:00:00,150.5,0
2014-07-01 02:10:00,233,0
2014-07-01 02:20:00,301.3,0
2014-07-01 02:30:00,635.8,0
2014-07-01 02:40:00,120,0
2014-07-01 02:50:00,119.6,0
2014-07-01 03:00:00,144.7,0
2014-07-01 03:10:00,242.2,0
2014-07-01 03:20:00,166,0
2014-07-01 03:30:00,94.8,0
2014-07-01 03:40:00,95,0
2014-07-01 03:50:00,94.8,0
2014-07-01 04:00:00,199.2,1
2014-07-01 04:10:00,289.4,0
2014-07-01 04:20:00,510.7,1
2014-07-01 04:30:00,173.9,0
2014-07-01 04:40:00,164,0
2014-07-01 04:50:00,464.7,0
2014-07-01 05:00:00,1555.7,1
2014-07-01 05:10:00,1486,1
2014-07-01 05:20:00,752.3,1
2014-07-01 05:30:00,94.1,0
2014-07-01 05:40:00,94,0
2014-07-01 05:50:00,210.6,0
2014-07-01 06:00:00,189.8,0
2014-07-01 06:10:00,94,0
2014-07-01 06:20:00,94.1,0
2014-07-01 06:30:00,94,0
2014-07-01 06:40:00,164,0
2014-07-01 06:50:00,217.2,0
2014-07-01 07:00:00,131.4,0
2014-07-01 07:10:00,94,0
2014-07-01 07:20:00,530.9,1
2014-07-01 07:30:00,97.2,0
2014-07-01 07:40:00,278.9,0
2014-07-01 07:50:00,447.2,1
2014-07-01 08:00:00,1450.6,1
2014-07-01 08:10:00,1410.5,1
2014-07-01 08:20:00,760.2,1
2014-07-01 08:30:00,176.3,0
2014-07-01 08:40:00,218,0
2014-07-01 08:50:00,101.9,0
2014-07-01 09:00:00,95,0
2014-07-01 09:10:00,95,0
2014-07-01 09:20:00,129.4,0
2014-07-01 09:30:00,218.7,0
2014-07-01 09:40:00,165.1,0
2014-07-01 09:50:00,94.8,0
2014-07-01 10:00:00,94.5,0
2014-07-01 10:10:00,94.9,0
2014-07-01 10:20:00,178.2,0
2014-07-01 10:30:00,217.1,1
2014-07-01 10:40:00,102.4,0
2014-07-01 10:50:00,101.2,0
2014-07-01 11:00:00,171.4,0
2014-07-01 11:10:00,211.1,0
2014-07-01 11:20:00,461.8,1
2014-07-01 11:30:00,695.5,1
2014-07-01 11:40:00,137.2,0
2014-07-01 11:50:00,1363.2,1
2014-07-01 12:00:00,2088.3,1
2014-07-01 12:10:00,259.9,0
2014-07-01 12:20:00,511.3,1
2014-07-01 12:30:00,112.3,0
2014-07-01 12:40:00,1186.2,1
2014-07-01 12:50:00,2300.4,1
2014-07-01 13:00:00,1127.3,1
2014-07-01 13:10:00,825.9,1
2014-07-01 13:20:00,981,1
2014-07-01 13:30:00,657.4,1
2014-07-01 13:40:00,417.8,1
2014-07-01 13:50:00,192.4,1
2014-07-01 14:00:00,2739.7,1
2014-07-01 14:10:00,2871.5,1
2014-07-01 14:20:00,2523.1,1
2014-07-01 14:30:00,1627.4,1
2014-07-01 14:40:00,356,0
2014-07-01 14:50:00,173.6,0
2014-07-01 15:00:00,581.2,1
2014-07-01 15:10:00,921.8,1
2014-07-01 15:20:00,1504.9,1
2014-07-01 15:30:00,1389.6,1
2014-07-01 15:40:00,50,0
2014-07-01 15:50:00,163.7,0
2014-07-01 16:00:00,170.8,0
2014-07-01 16:10:00,54.7,0
2014-07-01 16:20:00,910.1,0
2014-07-01 16:30:00,896.8,0
2014-07-01 16:40:00,1034,0
2014-07-01 16:50:00,1757.9,1
2014-07-01 17:00:00,1711.8,1
2014-07-01 17:10:00,1698.7,1
2014-07-01 17:20:00,1808.9,0
2014-07-01 17:30:00,2460.1,0
2014-07-01 17:40:00,1818,0
2014-07-01 17:50:00,1699.5,0
2014-07-01 18:00:00,1656.2,0
2014-07-01 18:10:00,1662.8,0
2014-07-01 18:20:00,1678.5,0
2014-07-01 18:30:00,1861.8,0
2014-07-01 18:40:00,1070,0
2014-07-01 18:50:00,119.1,0
2014-07-01 19:00:00,49.2,0
2014-07-01 19:10:00,117,0
2014-07-01 19:20:00,133.7,0
2014-07-01 19:30:00,1318.4,1
2014-07-01 19:40:00,2073.4,1
2014-07-01 19:50:00,497.3,1
2014-07-01 20:00:00,50,0
2014-07-01 20:10:00,50,0
2014-07-01 20:20:00,110,0
2014-07-01 20:30:00,582.5,1
2014-07-01 20:40:00,1429.1,1
2014-07-01 20:50:00,1698.8,0
2014-07-01 21:00:00,1727.6,0
2014-07-01 21:10:00,1731.6,0
2014-07-01 21:20:00,1779.3,0
2014-07-01 21:30:00,1812.4,0
2014-07-01 21:40:00,1760.7,0
2014-07-01 21:50:00,1346.6,0
2014-07-01 22:00:00,128,0
2014-07-01 22:10:00,1607.5,0
2014-07-01 22:20:00,1830.8,0
2014-07-01 22:30:00,1825.5,0
2014-07-01 22:40:00,978,0
2014-07-01 22:50:00,483.8,0
2014-07-01 23:00:00,113.9,0
2014-07-01 23:10:00,98.6,0
2014-07-01 23:20:00,173.7,0
2014-07-01 23:30:00,118.7,0
2014-07-01 23:40:00,84.2,0
2014-07-01 23:50:00,102.8,0
2014-07-02 00:00:00,51,0
2014-07-02 00:10:00,131.5,0
2014-07-02 00:20:00,423,0
2014-07-02 00:30:00,670.1,0
2014-07-02 00:40:00,1734.2,0
2014-07-02 00:50:00,1807.6,1
2014-07-02 01:00:00,1082.4,1
2014-07-02 01:10:00,193.6,1
2014-07-02 01:20:00,494.4,1
2014-07-02 01:30:00,327.4,0
2014-07-02 01:40:00,1527.5,1
2014-07-02 01:50:00,2169.4,1
2014-07-02 02:00:00,1611.3,1
2014-07-02 02:10:00,542.5,1
2014-07-02 02:20:00,106,0
2014-07-02 02:30:00,150,0
2014-07-02 02:40:00,229.8,0
2014-07-02 02:50:00,225.8,0
2014-07-02 03:00:00,94,0
2014-07-02 03:10:00,974.9,1
2014-07-02 03:20:00,2174.4,1
2014-07-02 03:30:00,1572.7,1
2014-07-02 03:40:00,868.8,1
2014-07-02 03:50:00,225.2,0
2014-07-02 04:00:00,93,0
2014-07-02 04:10:00,93,0
2014-07-02 04:20:00,93.2,0
2014-07-02 04:30:00,191.8,0
2014-07-02 04:40:00,212.3,0
2014-07-02 04:50:00,94,0
2014-07-02 05:00:00,841.6,1
2014-07-02 05:10:00,1441.8,1
2014-07-02 05:20:00,1476.3,1
2014-07-02 05:30:00,542.2,1
2014-07-02 05:40:00,136.9,0
2014-07-02 05:50:00,93,0
2014-07-02 06:00:00,93,0
2014-07-02 06:10:00,93,0
2014-07-02 06:20:00,200.9,0
2014-07-02 06:30:00,192.4,0
2014-07-02 06:40:00,93.1,0
2014-07-02 06:50:00,470.3,1
2014-07-02 07:00:00,172,0
2014-07-02 07:10:00,191.8,0
2014-07-02 07:20:00,216.3,0
2014-07-02 07:30:00,1065.8,1
2014-07-02 07:40:00,1387.8,1
2014-07-02 07:50:00,1163.8,1
2014-07-02 08:00:00,102.4,0
2014-07-02 08:10:00,217.8,0
2014-07-02 08:20:00,163.1,0
2014-07-02 08:30:00,93,0
2014-07-02 08:40:00,94,0
2014-07-02 08:50:00,93.3,0
2014-07-02 09:00:00,173.3,0
2014-07-02 09:10:00,529.6,1
2014-07-02 09:20:00,97.8,0
2014-07-02 09:30:00,93,0
2014-07-02 09:40:00,93,0
2014-07-02 09:50:00,125.8,0
2014-07-02 10:00:00,217,1
2014-07-02 10:10:00,167.5,0
2014-07-02 10:20:00,170.9,0
2014-07-02 10:30:00,168.9,0
2014-07-02 10:40:00,92,0
2014-07-02 10:50:00,198.9,0
2014-07-02 11:00:00,211.7,0
2014-07-02 11:10:00,92.1,0
2014-07-02 11:20:00,132.2,0
2014-07-02 11:30:00,599,1
2014-07-02 11:40:00,1757.8,1
2014-07-02 11:50:00,1479.3,0
2014-07-02 12:00:00,706.2,0
2014-07-02 12:10:00,50,0
2014-07-02 12:20:00,50.1,0
2014-07-02 12:30:00,50.1,0
2014-07-02 12:40:00,345.2,0
2014-07-02 12:50:00,2003.9,1
2014-07-02 13:00:00,594.9,1
2014-07-02 13:10:00,452.5,1
2014-07-02 13:20:00,140.5,0
2014-07-02 13:30:00,717.8,1
2014-07-02 13:40:00,1003.8,1
2014-07-02 13:50:00,246.7,1
2014-07-02 14:00:00,146.4,1
2014-07-02 14:10:00,874.8,1
2014-07-02 14:20:00,1418,0
2014-07-02 14:30:00,742.6,0
2014-07-02 14:40:00,3575.2,1
2014-07-02 14:50:00,3038.3,1
2014-07-02 15:00:00,1996.8,1
2014-07-02 15:10:00,1095.1,0
2014-07-02 15:20:00,193.7,0
2014-07-02 15:30:00,376.6,0
2014-07-02 15:40:00,209.3,0
2014-07-02 15:50:00,115.9,0
2014-07-02 16:00:00,333.1,0
2014-07-02 16:10:00,612.6,1
2014-07-02 16:20:00,173.4,0
2014-07-02 16:30:00,398.7,0
2014-07-02 16:40:00,240.7,0
2014-07-02 16:50:00,293.9,0
2014-07-02 17:00:00,75.2,0
2014-07-02 17:10:00,214.8,0
2014-07-02 17:20:00,1097.2,0
2014-07-02 17:30:00,1986.5,0
2014-07-02 17:40:00,2868.6,0
2014-07-02 17:50:00,6055.5,1
2014-07-02 18:00:00,3965.7,1
2014-07-02 18:10:00,1939,0
2014-07-02 18:20:00,2112,0
2014-07-02 18:30:00,2123,0
2014-07-02 18:40:00,2031.4,0
2014-07-02 18:50:00,2088,0
2014-07-02 19:00:00,2156.8,0
2014-07-02 19:10:00,1857.9,0
2014-07-02 19:20:00,2073.9,0
2014-07-02 19:30:00,1666.3,0
2014-07-02 19:40:00,51.7,0
2014-07-02 19:50:00,52,0
2014-07-02 20:00:00,172.2,0
2014-07-02 20:10:00,145.2,1
2014-07-02 20:20:00,52,0
2014-07-02 20:30:00,85.2,0
2014-07-02 20:40:00,129.7,0
2014-07-02 20:50:00,3148.8,0
2014-07-02 21:00:00,4454.6,1
2014-07-02 21:10:00,2913,0
2014-07-02 21:20:00,2277,0
2014-07-02 21:30:00,1766.6,0
2014-07-02 21:40:00,1774.6,0
2014-07-02 21:50:00,1848.6,0
2014-07-02 22:00:00,3893.2,1
2014-07-02 22:10:00,3646.2,1
2014-07-02 22:20:00,2803.5,0
2014-07-02 22:30:00,2391.8,0
2014-07-02 22:40:00,3773.4,1
2014-07-02 22:50:00,3543.7,1
2014-07-02 23:00:00,2992.8,1
2014-07-02 23:10:00,3561.9,1
2014-07-02 23:20:00,1690.5,1
2014-07-02 23:30:00,1676.3,1
2014-07-02 23:40:00,2264.8,1
2014-07-02 23:50:00,1727.2,1
2014-07-03 00:00:00,1844.9,1
