"Index","power","anomaly"
2014-07-01 00:00:00,2295,0
2014-07-01 00:10:00,2247.4,0
2014-07-01 00:20:00,2172.8,0
2014-07-01 00:30:00,2377.4,0
2014-07-01 00:40:00,2443.8,0
2014-07-01 00:50:00,2523.1,0
2014-07-01 01:00:00,2301.7,0
2014-07-01 01:10:00,2121,0
2014-07-01 01:20:00,2217.3,0
2014-07-01 01:30:00,2261.8,0
2014-07-01 01:40:00,2658.5,0
2014-07-01 01:50:00,2517,0
2014-07-01 02:00:00,6220.1,1
2014-07-01 02:10:00,3088.2,0
2014-07-01 02:20:00,2842.1,0
2014-07-01 02:30:00,2643.5,0
2014-07-01 02:40:00,3129,0
2014-07-01 02:50:00,6948.4,1
2014-07-01 03:00:00,3817.7,0
2014-07-01 03:10:00,2460.4,0
2014-07-01 03:20:00,2416.2,0
2014-07-01 03:30:00,2115.4,0
2014-07-01 03:40:00,1914.7,0
2014-07-01 03:50:00,1995.5,0
2014-07-01 04:00:00,2006.1,0
2014-07-01 04:10:00,1911.9,0
2014-07-01 04:20:00,1896.9,0
2014-07-01 04:30:00,1895.1,0
2014-07-01 04:40:00,1889,0
2014-07-01 04:50:00,1985.2,0
2014-07-01 05:00:00,1976.5,0
2014-07-01 05:10:00,1842.2,0
2014-07-01 05:20:00,1870.3,0
2014-07-01 05:30:00,1867.7,1
2014-07-01 05:40:00,1867.2,0
2014-07-01 05:50:00,1971.1,1
2014-07-01 06:00:00,1937.3,0
2014-07-01 06:10:00,1857.4,0
2014-07-01 06:20:00,1854.5,0
2014-07-01 06:30:00,1853.3,1
2014-07-01 06:40:00,1853.9,0
2014-07-01 06:50:00,1959.5,1
2014-07-01 07:00:00,1246.8,0
2014-07-01 07:10:00,1589.3,0
2014-07-01 07:20:00,1848.5,0
2014-07-01 07:30:00,1047.1,0
2014-07-01 07:40:00,1809.9,1
2014-07-01 07:50:00,1903.6,0
2014-07-01 08:00:00,1071.3,0
2014-07-01 08:10:00,1853.5,0
2014-07-01 08:20:00,926.8,0
2014-07-01 08:30:00,1518.9,0
2014-07-01 08:40:00,239.7,0
2014-07-01 08:50:00,322.5,0
2014-07-01 09:00:00,323.8,0
2014-07-01 09:10:00,282.5,0
2014-07-01 09:20:00,936.9,0
2014-07-01 09:30:00,319.8,0
2014-07-01 09:40:00,296.4,0
2014-07-01 09:50:00,322.5,0
2014-07-01 10:00:00,1165.7,0
2014-07-01 10:10:00,336.1,0
2014-07-01 10:20:00,330.7,0
2014-07-01 10:30:00,362.7,0
2014-07-01 10:40:00,1175.3,0
2014-07-01 10:50:00,384,0
2014-07-01 11:00:00,462,0
2014-07-01 11:10:00,607.6,0
2014-07-01 11:20:00,937.2,0
2014-07-01 11:30:00,273.4,0
2014-07-01 11:40:00,339,0
2014-07-01 11:50:00,1146.8,0
2014-07-01 12:00:00,517.6,0
2014-07-01 12:10:00,1214,0
2014-07-01 12:20:00,361.3,0
2014-07-01 12:30:00,320.3,0
2014-07-01 12:40:00,714.5,0
2014-07-01 12:50:00,171.4,0
2014-07-01 13:00:00,355.2,0
2014-07-01 13:10:00,911.2,0
2014-07-01 13:20:00,638.2,0
2014-07-01 13:30:00,326.3,0
2014-07-01 13:40:00,518.6,0
2014-07-01 13:50:00,628.3,0
2014-07-01 14:00:00,789.2,0
2014-07-01 14:10:00,4619.3,1
2014-07-01 14:20:00,3999,1
2014-07-01 14:30:00,1373.3,1
2014-07-01 14:40:00,1431.6,0
2014-07-01 14:50:00,1389.9,1
2014-07-01 15:00:00,1167.5,1
2014-07-01 15:10:00,886.5,1
2014-07-01 15:20:00,1351.2,1
2014-07-01 15:30:00,1018.1,0
2014-07-01 15:40:00,1028.2,0
2014-07-01 15:50:00,1002.6,0
2014-07-01 16:00:00,761.1,0
2014-07-01 16:10:00,656.2,0
2014-07-01 16:20:00,1434.5,1
2014-07-01 16:30:00,675.8,0
2014-07-01 16:40:00,526.3,0
2014-07-01 16:50:00,1181.3,0
2014-07-01 17:00:00,676.8,0
2014-07-01 17:10:00,710.7,0
2014-07-01 17:20:00,1398.1,0
2014-07-01 17:30:00,1426.8,0
2014-07-01 17:40:00,1654.8,0
2014-07-01 17:50:00,1171.3,0
2014-07-01 18:00:00,1679.4,0
2014-07-01 18:10:00,1057.8,0
2014-07-01 18:20:00,1642.3,0
2014-07-01 18:30:00,934.2,0
2014-07-01 18:40:00,1659.6,0
2014-07-01 18:50:00,698.7,0
2014-07-01 19:00:00,2114.2,0
2014-07-01 19:10:00,910.6,0
2014-07-01 19:20:00,2018.9,0
2014-07-01 19:30:00,857.5,0
2014-07-01 19:40:00,2098.2,0
2014-07-01 19:50:00,876.7,0
2014-07-01 20:00:00,2240.2,0
2014-07-01 20:10:00,1128.8,0
2014-07-01 20:20:00,2209,0
2014-07-01 20:30:00,2202.9,0
2014-07-01 20:40:00,2215.8,0
2014-07-01 20:50:00,2211.4,0
2014-07-01 21:00:00,2258.6,0
2014-07-01 21:10:00,2342.4,0
2014-07-01 21:20:00,2609.7,0
2014-07-01 21:30:00,2218.6,0
2014-07-01 21:40:00,2308.8,0
2014-07-01 21:50:00,2348.6,0
2014-07-01 22:00:00,2186.7,0
2014-07-01 22:10:00,2018,0
2014-07-01 22:20:00,1847.3,0
2014-07-01 22:30:00,1988.4,0
2014-07-01 22:40:00,2101.1,0
2014-07-01 22:50:00,2052.7,0
2014-07-01 23:00:00,1948.2,0
2014-07-01 23:10:00,2263.3,0
2014-07-01 23:20:00,1968,0
2014-07-01 23:30:00,2074.1,0
2014-07-01 23:40:00,2131.3,0
2014-07-01 23:50:00,1956,0
2014-07-02 00:00:00,1918.5,0
2014-07-02 00:10:00,1902.5,0
