"Index","fit","lwr","upr"
2014-07-01 00:00:00,244.989757026078,41.7401567804685,448.239357271687
2014-07-01 00:10:00,229.811704535143,85.2641345106006,374.359274559685
2014-07-01 00:20:00,239.529971135374,49.2179466422623,429.841995628485
2014-07-01 00:30:00,257.839919770685,116.582707565431,399.097131975938
2014-07-01 00:40:00,221.852156202671,144.889827755567,298.814484649776
2014-07-01 00:50:00,222.240028709297,207.947839700378,236.532217718216
2014-07-01 01:00:00,251.754480182267,205.994235427677,297.514724936858
2014-07-01 01:10:00,283.094120048335,235.623427335182,330.564812761489
2014-07-01 01:20:00,249.204855184937,208.77879098538,289.630919384493
2014-07-01 01:30:00,273.934670785935,217.583391593119,330.28594997875
2014-07-01 01:40:00,251.569471117029,212.903379167277,290.235563066781
2014-07-01 01:50:00,225.655945902526,183.254688059548,268.057203745503
2014-07-01 02:00:00,238.14304857419,209.10514231358,267.180954834801
2014-07-01 02:10:00,237.361780606452,202.115977073738,272.607584139166
2014-07-01 02:20:00,278.03647503971,233.057961650908,323.014988428512
2014-07-01 02:30:00,233.677894735683,175.22221351763,292.133575953737
2014-07-01 02:40:00,228.73798291636,195.646191386334,261.829774446385
2014-07-01 02:50:00,210.650262144922,187.372232445941,233.928291843904
2014-07-01 03:00:00,247.989855902815,205.080649431476,290.899062374154
2014-07-01 03:10:00,298.187650138818,258.554330822869,337.820969454767
2014-07-01 03:20:00,235.654515491729,176.734230360036,294.574800623422
2014-07-01 03:30:00,225.931851703225,143.634828670797,308.228874735653
2014-07-01 03:40:00,234.974074529825,148.499415428637,321.448733631013
2014-07-01 03:50:00,263.494752213659,216.624719143477,310.364785283842
2014-07-01 04:00:00,262.367902116686,227.069176927241,297.666627306132
2014-07-01 04:10:00,235.128842002857,155.814278396921,314.443405608792
2014-07-01 04:20:00,207.324242835542,116.570363212318,298.078122458767
2014-07-01 04:30:00,307.757963028505,245.368861416124,370.147064640886
2014-07-01 04:40:00,293.984133585377,245.463347661542,342.504919509213
2014-07-01 04:50:00,288.334786394278,219.962277298882,356.707295489674
2014-07-01 05:00:00,219.233027988379,171.04312586494,267.422930111818
2014-07-01 05:10:00,212.846123535994,177.753864180594,247.938382891394
2014-07-01 05:20:00,302.102112328592,263.058546917631,341.145677739553
2014-07-01 05:30:00,264.544037758258,218.039557687337,311.048517829179
2014-07-01 05:40:00,254.967195237899,152.832643461007,357.101747014791
2014-07-01 05:50:00,255.442190959848,190.088792680443,320.795589239254
2014-07-01 06:00:00,335.388666908891,255.735250995531,415.042082822251
2014-07-01 06:10:00,443.608446493953,362.0862613744,525.130631613506
2014-07-01 06:20:00,444.041370170326,396.75218888468,491.330551455972
2014-07-01 06:30:00,434.053775212115,387.274862584023,480.832687840207
2014-07-01 06:40:00,309.239132257628,229.125046937588,389.353217577668
2014-07-01 06:50:00,369.759702291574,314.305216449579,425.214188133569
2014-07-01 07:00:00,405.636145502083,329.429409141925,481.842881862242
2014-07-01 07:10:00,427.247100692332,381.575811388583,472.91838999608
2014-07-01 07:20:00,652.988221918893,204.901176803773,1101.07526703401
2014-07-01 07:30:00,367.095579591549,-413.459094982884,1147.65025416598
2014-07-01 07:40:00,347.933539352994,67.086249887705,628.780828818284
2014-07-01 07:50:00,455.859002087931,182.598198702837,729.119805473024
2014-07-01 08:00:00,572.511800465203,109.377406723314,1035.64619420709
2014-07-01 08:10:00,278.553107700748,-122.552198505324,679.65841390682
2014-07-01 08:20:00,230.24991271024,16.9729409888025,443.526884431677
